,CROP_LABEL,CROP_GROUP,CROP_NAME_GR,CROP_NAME,LU_LABEL,LU_NAME,GROUP_NAME
0,3,1,ΚΡΙΘΑΡΙ,BARLEY,1,ARABLE LAND,BARLEY
1,1,2,ΣΙΤΑΡΙ ΣΚΛΗΡΟ,DURUM WHEAT,1,ARABLE LAND,WHEAT
2,226,2,ΣΙΤΑΡΙ (ΟΧΙ ΣΚΛΗΡΟ),WHEAT (NOT DURUM WHEAT),1,ARABLE LAND,WHEAT
3,4,3,ΣΙΦΩΝΑΡΙ,COMMON OAT,1,ARABLE LAND,COMMON OAT
4,230,4,ΤΡΙΤΙΚΑΛΕ,TRITICALE,1,ARABLE LAND,TRITICALE
5,5,5,ΑΡΑΒΟΣΙΤΟΣ,MAIZE,1,ARABLE LAND,CEREALS
6,6,5,ΣΟΡΓΟ,SORGHUM,1,ARABLE LAND,CEREALS
7,190,5,ΚΕΧΡΙ (ΙΑΠΩΝΙΚΟ),MILLET (JAPANESE),1,ARABLE LAND,CEREALS
8,191,5,ΚΕΧΡΙ (ΚΟΙΝΟ),MILLET (COMMON),1,ARABLE LAND,CEREALS
9,192,5,ΚΕΧΡΙ (ΜΑΡΓΑΡΙΤΩΔΕΣ),MILLET (PEARL),1,ARABLE LAND,CEREALS
10,193,5,ΚΕΧΡΙ (ΙΤΑΛΙΚΟ),MILLET (ITALIAN),1,ARABLE LAND,CEREALS
11,216,5,ΜΙΓΜΑ ΣΙΤΑΡΙ - ΤΡΙΤΙΚΑΛΕ,WHEAT - TRITICALE MIXTURE,1,ARABLE LAND,CEREALS
12,237,5,ΜΙΓΜΑ - ΠΟΛΥΚΑΛΛΙΕΡΓΕΙΑ,MIXTURE SEEDS - MULTICULTURE,1,ARABLE LAND,CEREALS
13,315,5,ΟΛΥΡΑ (ΣΙΤΟΣ DINKEL),SPELT/ DINKEL WHEAT,1,ARABLE LAND,CEREALS
14,15,6,ΜΗΔΙΚΗ,ALFALFA,1,ARABLE LAND,CLOVERS
15,231,6,ΤΡΙΦΥΛΛΙ,CLOVER / TREFOIL,1,ARABLE LAND,CLOVERS
16,232,6,ΤΡΙΦΥΛΛΙ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,CLOVER / TREFOIL USED AS GREEN MANURE,1,ARABLE LAND,CLOVERS
17,18,7,ΡΕΒΙΘΙΑ,CHICKPEA,1,ARABLE LAND,LEGUMES
18,159,7,ΡΕΒΙΘΙΑ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,CHICKPEA USED AS GREEN MANURE,1,ARABLE LAND,LEGUMES
19,19,7,ΦΑΚΕΣ,LENTILS,1,ARABLE LAND,LEGUMES
20,160,7,ΦΑΚΕΣ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,LENTILS USED AS GREEN MANURE,1,ARABLE LAND,LEGUMES
21,22,7,ΦΙΣΤΙΚΙΑ,PEANUTS,1,ARABLE LAND,LEGUMES
22,35,7,ΦΑΣΟΛΙΑ,COMMON BEANS,1,ARABLE LAND,LEGUMES
23,161,7,ΦΑΣΟΛΙΑ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,BEANS USED AS GREEN MANURE,1,ARABLE LAND,LEGUMES
24,36,7,ΛΟΥΒΙΑ,BLACK-EYED PEA / COWPEA,1,ARABLE LAND,LEGUMES
25,162,7,ΛΟΥΒΙΑ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,BLACK-EYED PEA / COWPEAS USED AS GREEN MANURE,1,ARABLE LAND,LEGUMES
26,9,7,ΚΟΥΚΙΑ ΒΡΩΣΙΜΑ,BROAD BEANS,1,ARABLE LAND,LEGUMES
27,150,7,ΒΙΚΟΣ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,COMMON VETCH USED AS GREEN MANURE,1,ARABLE LAND,LEGUMES
28,152,7,ΚΟΥΚΙΑ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,BROAD BEANS USED AS GREEN MANURE,1,ARABLE LAND,LEGUMES
29,177,7,ΕΙΔΗ VICIA,VICIA SPECIES,1,ARABLE LAND,LEGUMES
30,8,7,ΜΠΙΖΕΛΙΑ ΚΤΗΝΟΤΡΟΦΙΚΑ,FORAGE PEAS,1,ARABLE LAND,LEGUMES
31,151,7,ΜΠΙΖΕΛΙΑ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,PEAS USED AS GREEN MANURE,1,ARABLE LAND,LEGUMES
32,219,7,ΜΠΙΖΕΛΙΑ ΒΡΩΣΙΜΑ,PEAS,1,ARABLE LAND,LEGUMES
33,40,8,ΠΑΤΑΤΕΣ,POTATOES,1,ARABLE LAND,POTATOES
34,30,9,ΠΙΠΕΡΙΑ,PEPPER,1,ARABLE LAND,PEPPER
35,75,10,ΑΓΡΑΝΑΠΑΥΣΗ,LAND LYING FALLOW,1,ARABLE LAND,LAND LYING FALLOW
36,218,12,ΜΠΑΜΙΑ,OKRA,1,ARABLE LAND,OKRA
37,13,13,ΛΟΛΙΟ,LOLIUM / RYEGRASS,1,ARABLE LAND,GRASSES
38,23,13,ΣΙΣΑΜΙ,SESAME,1,ARABLE LAND,GRASSES
39,170,13,ΑΓΡΩΣΤΩΔΗ Ή ΑΛΛΑ ΠΟΩΔΗ ΚΤΗΝΟΤΡΟΦΙΚΑ ΦΥΤΑ,GRASSES OR OTHER HERBACEOUS FORAGE,1,ARABLE LAND,GRASSES
40,204,13,ΛΙΛΙΟΥΜ,MADONNA LILY,1,ARABLE LAND,GRASSES
41,205,13,ΛΙΝΑΡΙ,FLAX / LINSEED,1,ARABLE LAND,GRASSES
42,225,13,ΣΙΚΑΛΗ,RYE,1,ARABLE LAND,GRASSES
43,333,13,ΦΑΚΕΛΩΤΗ,LACY PHACELIA/BLUE TANSY/PURPLE TANSY,1,ARABLE LAND,GRASSES
44,211,14,ΜΙΓΜΑ ΒΙΚΟΣ - ΚΡΙΘΑΡΙ,VETCH - BARLEY MIXTURE,1,ARABLE LAND,CEREALS-LEGUMES MIXTURES
45,212,14,ΜΙΓΜΑ ΒΙΚΟΣ - ΣΙΤΑΡΙ,VETCH - WHEAT MIXTURE,1,ARABLE LAND,CEREALS-LEGUMES MIXTURES
46,213,14,ΜΙΓΜΑ ΒΙΚΟΣ - ΤΡΙΤΙΚΑΛΕ,VETCH - TRITICALE MIXTURE ,1,ARABLE LAND,CEREALS-LEGUMES MIXTURES
47,214,14,ΜΙΓΜΑ ΜΠΙΖΕΛΙ - ΣΙΤΑΡΙ,PEA-WHEAT MIXTURE,1,ARABLE LAND,CEREALS-LEGUMES MIXTURES
48,215,14,ΜΙΓΜΑ ΜΠΙΖΕΛΙ - ΤΡΙΤΙΚΑΛΕ,PEA -TRITICALE MIXTURE,1,ARABLE LAND,CEREALS-LEGUMES MIXTURES
49,195,15,ΚΟΛΟΚΑΣΙ,TARO ROOT,1,ARABLE LAND,TARO ROOT
50,26,16,ΑΓΓΟΥΡΑΚΙΑ,CUCUMBERS,1,ARABLE LAND,SQUASHES
51,31,16,ΚΑΡΠΟΥΖΙΑ,WATERMELON,1,ARABLE LAND,SQUASHES
52,32,16,ΠΕΠΟΝΙΑ,MELON,1,ARABLE LAND,SQUASHES
53,196,16,ΚΟΛΟΚΥΘΑ,AUTUMN SQUASH,1,ARABLE LAND,SQUASHES
54,197,16,ΚΟΛΟΚΥΘΙ,ZUCCHINI,1,ARABLE LAND,SQUASHES
55,198,16,ΚΟΛΟΚΥΘΙΕΣ,WINTER SQUASH / PUMPKIN,1,ARABLE LAND,SQUASHES
56,199,16,ΚΡΕΑΤΟΚΟΛΟΚΟ (ΖΑΜΠΟΥΡΑ),CUCUZZI SQUASH,1,ARABLE LAND,SQUASHES
57,220,16,ΝΕΡΟΚΟΛΟΚΥΘΙΑ,CALABASH/BOTTLE GOURD,1,ARABLE LAND,SQUASHES
58,34,17,ΑΓΚΙΝΑΡΕΣ,ARTICHOKES,1,ARABLE LAND,ARTICHOKES
59,29,18,ΜΕΛΙΤΖΑΝΕΣ,EGGPLANTS,1,ARABLE LAND,EGGPLANTS
60,25,19,ΤΟΜΑΤΕΣ,TOMATOES,1,ARABLE LAND,TOMATOES
61,17,20,ΛΟΥΒΑΝΑ,SWEET PEA,1,ARABLE LAND,PEAS
62,156,20,ΦΑΒΕΤΤΑ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,INDIAN PEA USED AS GREEN MANURE,1,ARABLE LAND,PEAS
63,158,20,ΛΟΥΒΑΝΑ ΓΙΑ ΧΛΩΡΗ ΛΙΠΑΝΣΗ,SWEET PEA USED AS GREEN MANURE,1,ARABLE LAND,PEAS
64,201,20,ΕΙΔΗ LATHYRUS,LATHYRUS SPECIES,1,ARABLE LAND,PEAS
65,206,20,ΛΟΥΠΙΝΟ,LUPIN,1,ARABLE LAND,PEAS
66,227,20,ΣΟΓΙΑ,SOY BEAN,1,ARABLE LAND,PEAS
67,41,21,ΦΡΑΟΥΛΕΣ,STRAWBERRIES,1,ARABLE LAND,STRAWBERRIES
68,111,22,ΔΙΑΦΟΡΑ ΛΑΧΑΝΙΚΑ,VARIOUS VEGETABLES,1,ARABLE LAND,VARIOUS VEGETABLES
69,174,23,ΑΝΗΘΟΣ,DILL,1,ARABLE LAND,FENNEL
70,209,23,ΜΑΡΑΘΟΣ,FENNEL,1,ARABLE LAND,FENNEL
71,202,24,ΚΡΑΜΒΟΕΙΔΗ,CRUICIFERS / CABBAGE / BROCCOLI / CAULIFLOWER,1,ARABLE LAND,CRUCIFERS/LETTUCE
72,210,24,ΜΑΡΟΥΛΙΑ,LETTUCE,1,ARABLE LAND,CRUCIFERS/LETTUCE
73,176,25,ΒΑΣΙΛΙΚΟΣ,BASIL,1,ARABLE LAND,BEETS/CARROTS/LEAFY
74,181,25,ΓΛΥΣΤΡΙΔΑ,COMMON PURSLANE,1,ARABLE LAND,BEETS/CARROTS/LEAFY
75,189,25,ΚΑΡΟΤΟ,CARROT,1,ARABLE LAND,BEETS/CARROTS/LEAFY
76,194,25,ΚΟΛΙΑΝΔΡΟΣ,CORIANDER,1,ARABLE LAND,BEETS/CARROTS/LEAFY
77,208,25,ΜΑΪΝΤΑΝΟΣ,PARSLEY,1,ARABLE LAND,BEETS/CARROTS/LEAFY
78,221,25,ΡΑΔΙΚΙΑ,DANDELION FAMILY (CHICORY),1,ARABLE LAND,BEETS/CARROTS/LEAFY
79,222,25,ΡΑΠΑΝΑΚΙΑ,RADISH,1,ARABLE LAND,BEETS/CARROTS/LEAFY
80,223,25,ΡΟΚΑ,ROCKET,1,ARABLE LAND,BEETS/CARROTS/LEAFY
81,224,25,ΣΕΛΙΝΟ,CELERY,1,ARABLE LAND,BEETS/CARROTS/LEAFY
82,228,25,ΣΠΑΝΑΧΙ,SPINACH,1,ARABLE LAND,BEETS/CARROTS/LEAFY
83,229,25,ΤΕΥΤΛΑ,"BEETS: COMMON BEET, CHARD, SEA BEET ETC",1,ARABLE LAND,BEETS/CARROTS/LEAFY
84,234,25,ΧΑΜΟΜΗΛΙ,CHAMOMILE,1,ARABLE LAND,BEETS/CARROTS/LEAFY
85,270,25,ΚΙΝΕΖΙΚΟ ΛΑΧΑΝΟ,CHINESE CABBAGE,1,ARABLE LAND,BEETS/CARROTS/LEAFY
86,179,26,ΓΛΥΚΟΠΑΤΑΤΑ,SWEET POTATO,1,ARABLE LAND,SWEET POTATO
87,185,28,ΕΛΑΙΟΚΡΑΜΒΗ,RAPESEED,1,ARABLE LAND,RAPESEED
88,166,29,ΣΤΕΒΙΑ,STEVIA,1,ARABLE LAND,STEVIA
89,203,29,ΛΙΘΟΣΠΑΣΤΟ,PLANTAIN,1,ARABLE LAND,STEVIA
90,200,30,ΚΡΕΜΜΥΔΟΕΙΔΗ,ALLIUM SP.: ONIONS / LEEK / GARLIC,1,ARABLE LAND,ALLIUM SP.: ONIONS / LEEK / GARLIC
91,16,31,ΚΑΠΝΟΣ,TOBACCO,1,ARABLE LAND,TOBACCO
92,175,33,ΒΑΜΒΑΚΙ,COTTON,1,ARABLE LAND,COTTON
93,110,34,ΑΝΘΗ - ΔΙΑΦΟΡΑ,VARIOUS FLOWERS,1,ARABLE LAND,VARIOUS FLOWERS
94,172,52,ΑΘΑΝΑΤΑ,SEA LAVENDER,1,ARABLE LAND,MINORITY CROPS
95,178,52,ΓΑΡΥΦΑΛΛΑ,CARNATIONS,1,ARABLE LAND,MINORITY CROPS
96,183,52,ΓΥΨΟΦΙΛΟ,GYPSOPHILA / ANNUAL BABY'S-BREATH,1,ARABLE LAND,MINORITY CROPS
97,186,52,ΖΕΡΠΕΡΑ,GERBERA,1,ARABLE LAND,MINORITY CROPS
98,187,52,ΗΛΙΑΝΘΟΣ,COMMON SUNFLOWER,1,ARABLE LAND,MINORITY CROPS
99,188,52,ΚΑΛΕΝΤΟΥΛΑ,POT MARIGOLD,1,ARABLE LAND,MINORITY CROPS
100,207,52,ΛΥΣΙΑΝΘΟΣ,LYSIANTHUS/PRAIRIE GENTIAN/BLUBELL GENTIAN,1,ARABLE LAND,MINORITY CROPS
101,235,52,ΧΡΥΣΑΝΘΕΜΑ,FLORISTS' CHRYSANTHEMUM,1,ARABLE LAND,MINORITY CROPS
102,76,11,ΜΟΝΙΜΟΙ ΒΟΣΚΟΤΟΠΟΙ,PERMANENT GRASSLAND,3,GRASSLAND (PERMANENT PASTURE),PERMANENT GRASSLAND
103,121,11,ΜΟΝ. ΒΟΣΚΟΤΟΠΟΣ ΧΩΡΙΣ ΖΩΑ,PERMANENT GRASSLAND WITHOUT ANIMALS,3,GRASSLAND (PERMANENT PASTURE),PERMANENT GRASSLAND
104,132,32,ΖΑΧΑΡΟΚΑΛΑΜΟ,SUGAR CANE,2,PERMANENT CROPS,SUGAR CANE
105,42,35,ΕΛΙΕΣ,OLIVES,2,PERMANENT CROPS,OLIVES
106,46,36,ΚΑΡΥΔΙΕΣ,WALNUTS,2,PERMANENT CROPS,WALNUTS
107,47,37,ΠΙΣΤΑΚΙΕΣ,PISTACHIOS,2,PERMANENT CROPS,PISTACHIOS
108,56,38,ΣΥΚΙΕΣ,FIGS,2,PERMANENT CROPS,FIGS
109,63,52,ΦΟΙΝΙΚΙΕΣ,PHOENIX,2,PERMANENT CROPS,MINORITY CROPS
110,65,39,ΠΑΠΟΥΤΣΟΣΥΚΑ,SWEET PRICKLY PEAR,2,PERMANENT CROPS,SWEET PRICKLY PEAR
111,67,40,ΧΑΡΟΥΠΙΕΣ,CAROB TREES,2,PERMANENT CROPS,CAROB TREES
112,68,41,ΕΣΠΕΡΙΔΟΕΙΔΗ,CITRUS TREES,2,PERMANENT CROPS,CITRUS TREES
113,69,42,ΜΠΑΝΑΝΕΣ,BANANAS,2,PERMANENT CROPS,BANANAS
114,70,43,ΑΜΠΕΛΙΑ ΟΙΝΟΠΟΙΗΣΙΜΑ,WINE VINEYARDS,2,PERMANENT CROPS,WINE VINEYARDS
115,71,44,ΑΜΠΕΛΙΑ ΕΠΙΤΡΑΠΕΖΙΑ,TABLE VINEYARDS,2,PERMANENT CROPS,TABLE VINEYARDS
116,155,45,ΠΕΡΒΟΛΙ,ORCHARD / VARIUS FRUIT TREES/VEGETABLES,2,PERMANENT CROPS,ORCHARD / VARIUS FRUIT TREES/VEGETABLES
117,173,46,ΑΜΠΕΛΙΑ ΠΑΡΑΔΟΣΙΑΚΑ,TRADITIONAL VINEYARDS,2,PERMANENT CROPS,TRADITIONAL VINEYARDS
118,180,52,ΓΛΥΚΟΡΙΖΑ,LICORICE/LIQUORICE ,2,PERMANENT CROPS,MINORITY CROPS
119,184,47,ΔΕΝΤΡΑ ΠΑΡΑΔΟΣΙΑΚΑ,TRADITIONAL TREES,2,PERMANENT CROPS,TRADITIONAL TREES
120,233,48,ΦΥΛΛΟΒΟΛΑ - ΟΠΩΡΟΦΟΡΑ,DECIDUOUS FRUIT TREES,2,PERMANENT CROPS,DECIDUOUS FRUIT TREES
121,236,49,ΤΡΙΑΝΤΑΦΥΛΛΙΑ ΑΓΡΟΥ,DAMASK ROSE,2,PERMANENT CROPS,DAMASK ROSE
122,238,50,ΜΟΝΙΜΕΣ ΔΕΝΤΡΩΔΕΙΣ ΚΑΛΛΙΕΡΓΕΙΕΣ,TREE CROPS,2,PERMANENT CROPS,TREE CROPS
123,239,51,ΜΟΝΙΜΕΣ ΘΑΜΝΩΔΕΙΣ ΚΑΛΛΙΕΡΓΕΙΕΣ,SHRUB CROPS,2,PERMANENT CROPS,SHRUB CROPS
124,122,52,ΔΑΣΩΜΕΝΗ ΕΚΤΑΣΗ ΣΑΑ / ΠΑΑ,AFFORESTED AREA,5,AFFORESTED LAND (NON-AGRICULTURAL),MINORITY CROPS
